YEAR,MONTH,total_freight_tons,total_co2e_kg,intl_freight_tons,intl_ratio,date,port_teus,freight_lag1,freight_lag2,freight_roll3,freight_yoy,freight_mom,intl_ratio_lag1,co2e_lag1,co2e_roll3,month_num,port_lag1,port_lag2,port_roll3,port_yoy,high_carbon_risk
2016,4,42787.849,293397200.06725323,42787.849,1.0,2016-04-01,656177.05,46722.072,37929.468,40907.3135,0.04454777120163245,-0.0842048058142626,1.0,323964260.37642217,282026954.2084699,4,612863.2,713721.0,676994.2166666667,-0.010251092332910772,0
2016,5,46741.9,322940758.2195092,46741.9,1.0,2016-05-01,770409.3,42787.849,46722.072,42479.79633333333,-0.06118142803122373,0.09241060470228346,1.0,293397200.06725323,293483232.6379669,5,656177.05,612863.2,660920.4166666666,0.1088359586669978,1
2016,6,46408.248,320424791.39597434,46408.248,1.0,2016-06-01,676006.9,46741.9,42787.849,45417.27366666667,0.08172423983102362,-0.0071381779516879185,1.0,322940758.2195092,313434072.8877282,6,770409.3,656177.05,679816.5166666666,-0.06344629404216606,1
2016,7,47337.5645,330436061.4565175,47337.56450000001,1.0000000000000002,2016-07-01,687891.8,46408.248,46741.9,45312.66566666667,0.013891325669535437,0.020024813261642738,1.0,320424791.39597434,312254249.8942456,7,676006.9,770409.3,700864.4166666666,-0.016071664707440037,1
2016,8,42538.843,296407343.00181544,42538.843,1.0,2016-08-01,798932.75,47337.5645,46408.248,46829.23750000001,0.022462543509169874,-0.10137237837827506,1.0000000000000002,330436061.4565175,324600537.0240004,8,687891.8,676006.9,711436.0,0.015591015673960484,0
2016,9,42553.0865,295115267.93879175,42553.0865,1.0,2016-09-01,747707.4,42538.843,47337.5645,45428.218499999995,0.017371597262868743,0.0003348351528977833,1.0,296407343.00181544,315756065.2847691,9,798932.75,687891.8,720943.8166666668,0.023826284538732923,0
2016,10,48770.8895,338648451.2378283,48770.8895,1.0,2016-10-01,814574.5,42553.0865,42538.843,44143.16466666667,0.10468787960920167,0.14611873101143913,1.0,295115267.93879175,307319557.46570826,10,747707.4,798932.75,744843.9833333334,0.15609896778107069,1
2016,11,45473.379,309652074.6272363,45473.379,1.0,2016-11-01,877564.2,48770.8895,42553.0865,44620.939666666665,0.10996268085790195,-0.06761226899501183,1.0,338648451.2378283,310057020.7261452,11,814574.5,747707.4,787071.5499999999,0.2360604066066574,0
2016,12,44339.722,308222487.41614395,44339.721999999994,0.9999999999999999,2016-12-01,796536.25,45473.379,48770.8895,45599.11833333334,0.12348263963926498,-0.02493012450207399,1.0,309652074.6272363,314471931.2679522,12,877564.2,814574.5,813282.0333333332,0.27186004779197814,0
2017,1,38897.6585,264132008.8447029,38897.658500000005,1.0000000000000002,2017-01-01,826639.55,44339.722,45473.379,46194.6635,0.021729689972659783,-0.12273562518050973,0.9999999999999999,308222487.41614395,318841004.4270696,1,796536.25,877564.2,829558.3166666665,0.17353970611377711,0
2017,2,39655.3725,279193500.3984246,39655.3725,1.0,2017-02-01,625381.15,38897.6585,44339.722,42903.586500000005,0.04550299782744105,0.019479681534044113,1.0000000000000002,264132008.8447029,294002190.2960277,2,826639.55,796536.25,833580.0,-0.12377364544408809,0
2017,3,47560.4835,336937881.2408974,47560.4835,1.0,2017-03-01,788523.7,39655.3725,38897.6585,40964.251,0.017944655793518782,0.19934527156440174,1.0,279193500.3984246,283849332.21975714,3,625381.15,826639.55,749518.9833333334,0.28662269165451604,1
2017,4,43348.215,304472031.32751554,43348.215,1.0,2017-04-01,714755.05,47560.4835,39655.3725,42037.83816666666,0.013096381638628252,-0.0885665617760174,1.0,336937881.2408974,293421130.16134167,4,788523.7,625381.15,746848.1333333333,0.08927163789102344,0
2017,5,51655.5345,368958816.0773956,51655.5345,1.0,2017-05-01,796216.7,43348.215,47560.4835,43521.356999999996,0.10512269505518601,0.19164155894308466,1.0,304472031.32751554,306867804.3222792,5,714755.05,788523.7,709553.2999999999,0.0334982975932403,1
2017,6,50490.4525,354477982.0651639,50490.4525,1.0,2017-06-01,731032.35,51655.5345,43348.215,47521.411,0.08796290909322835,-0.02255483388716073,1.0,368958816.0773956,336789576.21526957,6,796216.7,714755.05,766498.4833333334,0.08139776383939279,1
2017,7,52061.3715,372930826.5379237,52061.371499999994,0.9999999999999999,2017-07-01,796804.0,50490.4525,51655.5345,48498.06733333333,0.09978981914035745,0.031113189171754874,1.0,354477982.0651639,342636276.49002504,7,731032.35,796216.7,747334.6999999998,0.15832751604249373,1
2017,8,49234.315,350728981.17049336,49234.315,1.0,2017-08-01,847857.05,52061.3715,50490.4525,51402.45283333334,0.15739666450260525,-0.05430238233351192,0.9999999999999999,372930826.5379237,365455874.8934944,8,796804.0,731032.35,774684.35,0.06123706907746618,1
2017,9,47658.407999999996,333578513.5873011,47658.408,1.0000000000000002,2017-09-01,763784.5,49234.315,52061.3715,50595.37966666667,0.11997535125918546,-0.03200830558930301,1.0,350728981.17049336,359379263.25786036,9,847857.05,796804.0,791897.7999999999,0.021501860219652835,1
2017,10,51013.475,360899268.6028845,51013.475,1.0,2017-10-01,748762.2,47658.407999999996,49234.315,49651.36483333333,0.045982050419646425,0.07039821808567348,1.0000000000000002,333578513.5873011,352412773.7652394,10,763784.5,847857.05,802815.1833333332,-0.08079346947394017,1
2017,11,46012.213,319005151.25213397,46012.213,1.0,2017-11-01,924225.75,51013.475,47658.407999999996,49302.06599999999,0.011849438327422357,-0.09803805759164608,1.0,360899268.6028845,348402254.4535597,11,748762.2,763784.5,786801.25,0.05317166538926732,1
2017,12,46738.194,332374185.19990075,46738.194,1.0,2017-12-01,779210.95,46012.213,51013.475,48228.032,0.05409307708334299,0.01577800659142392,1.0,319005151.25213397,337827644.4807732,12,924225.75,748762.2,812257.4833333333,-0.021750799163252177,1
2018,1,43992.6555,311581235.60536844,43992.65549999999,0.9999999999999999,2018-01-01,808728.5,46738.194,46012.213,47921.293999999994,0.1309846709667628,-0.0587429308886005,1.0,332374185.19990075,337426201.6849731,1,779210.95,924225.75,817399.6333333333,-0.021667303481910594,1
2018,2,43197.2215,302920088.2421215,43197.2215,1.0,2018-02-01,725059.45,43992.6555,46738.194,45581.020833333336,0.08931574151774768,-0.018081063553892607,0.9999999999999999,311581235.60536844,320986857.3524678,2,808728.5,779210.95,837388.3999999999,0.15938807877404026,0
2018,3,54074.2045,383133299.98848456,54074.2045,1.0,2018-03-01,577865.9,43197.2215,43992.6555,44642.69033333333,0.13695657656634208,0.2517982088269266,1.0,302920088.2421215,315625169.6824636,3,725059.45,808728.5,770999.6333333333,-0.26715468412680554,1
2018,4,50700.5765,357015116.2004784,50700.57650000001,1.0000000000000002,2018-04-01,705535.95,54074.2045,43197.2215,47088.02716666667,0.16961163222061182,-0.06238886047782721,1.0,383133299.98848456,332544874.6119916,4,577865.9,725059.45,703884.6166666666,-0.012898264937057924,1
2018,5,52110.345,365903241.2806371,52110.344999999994,0.9999999999999999,2018-05-01,768804.35,50700.5765,54074.2045,49324.00083333333,0.008804680938883758,0.027805768638548,1.0000000000000002,357015116.2004784,347689501.4770282,5,705535.95,577865.9,669487.1,-0.034428253012025456,1
2018,6,53400.495,378888432.6295767,53400.494999999995,0.9999999999999999,2018-06-01,723141.15,52110.345,50700.5765,52295.041999999994,0.057635500493880665,0.02475803988632208,0.9999999999999999,365903241.2806371,368683885.82320005,6,768804.35,705535.95,684068.7333333333,-0.010794597530464856,1
2018,7,54967.812,397353675.9681276,54967.812000000005,1.0000000000000002,2018-07-01,833567.85,53400.495,52110.345,52070.47216666667,0.05582719809830583,0.029350233551205696,0.9999999999999999,378888432.6295767,367268930.0368974,7,723141.15,768804.35,732493.8166666668,0.046139138357739196,1
2018,8,56638.595,412934402.6437756,56638.594999999994,0.9999999999999999,2018-08-01,826638.4,54967.812,53400.495,53492.884,0.15038860599563542,0.030395661373605387,1.0000000000000002,397353675.9681276,380715116.62611383,8,833567.85,723141.15,775171.1166666666,-0.025026211670941545,1
2018,9,53217.7435,382051810.95339876,53217.74349999999,0.9999999999999999,2018-09-01,801264.15,56638.595,54967.812,55002.30066666667,0.11664962665139811,-0.06039788769477783,0.9999999999999999,412934402.6437756,396392170.4138267,9,826638.4,833567.85,794449.1333333333,0.04907097486267409,1
2018,10,52446.0595,370325463.8064198,52446.0595,1.0,2018-10-01,952553.75,53217.7435,56638.595,54941.383499999996,0.028082472327164654,-0.014500502074087263,0.9999999999999999,382051810.95339876,397446629.8551007,10,801264.15,826638.4,820490.1333333333,0.27217125811105314,1
2018,11,49729.9875,351027301.1059502,49729.987499999996,0.9999999999999999,2018-11-01,832330.9,52446.0595,53217.7435,54100.79933333333,0.08079973245364225,-0.05178791363724855,1.0,370325463.8064198,388437225.80119807,11,952553.75,801264.15,860152.1,-0.09942900855121162,1
2018,12,45509.438,324943379.53795516,45509.437999999995,0.9999999999999999,2018-12-01,903258.15,49729.9875,52446.0595,51797.930166666665,-0.026290189988941393,-0.08486930546684734,0.9999999999999999,351027301.1059502,367801525.28858966,12,832330.9,952553.75,862049.6,0.15919591479046868,1
2019,1,42885.5395,301517736.14290625,42885.5395,1.0,2019-01-01,852449.5,45509.438,49729.9875,49228.495,-0.02516592798086492,-0.05765613937047531,0.9999999999999999,324943379.53795516,348765381.48344177,1,903258.15,832330.9,896047.6,0.054061406269223955,0
2019,2,42586.3705,298171506.3323894,42586.370500000005,1.0000000000000002,2019-02-01,705306.55,42885.5395,45509.438,46041.655000000006,-0.014140978951620808,-0.006975987791875693,1.0,301517736.14290625,325829472.2622705,2,852449.5,903258.15,862679.5166666666,-0.027243145372424116,0
2019,3,53083.34,377995730.27647585,53083.33999999999,0.9999999999999999,2019-03-01,650977.15,42586.3705,42885.5395,43660.44933333333,-0.01832416230922085,0.24648659598732414,1.0000000000000002,298171506.3323894,308210874.004417,3,705306.55,852449.5,820338.0666666668,0.12651940528070615,1
2019,4,43404.9535,301014431.86902684,43404.9535,1.0,2019-04-01,736465.95,53083.34,42586.3705,46185.083333333336,-0.1438962533295849,-0.1823243695667981,0.9999999999999999,377995730.27647585,325894990.91725725,4,650977.15,705306.55,736244.4,0.043839013447861896,0
2019,5,47057.558,333346734.933734,47057.558000000005,1.0000000000000002,2019-05-01,828662.15,43404.9535,53083.34,46358.22133333333,-0.09696322294546322,0.08415178926525035,1.0,301014431.86902684,325727222.8259641,5,736465.95,650977.15,697583.2166666667,0.0778583003595128,1
2019,6,45786.4675,334373114.2482024,45786.4675,1.0,2019-06-01,764777.25,47057.558,43404.9535,47848.61716666666,-0.14258346294355517,-0.02701139952906184,1.0000000000000002,333346734.933734,337452299.02641225,6,828662.15,736465.95,738701.75,0.05757672620345278,1
2019,7,48601.1065,348264955.16683096,48601.1065,1.0,2019-07-01,912154.15,45786.4675,47057.558,45416.32633333333,-0.11582606744470736,0.061473163440704415,1.0,334373114.2482024,322911427.01698774,7,764777.25,828662.15,776635.1166666667,0.09427702855862319,1
2019,8,50504.179000000004,366506366.1620417,50504.179,0.9999999999999999,2019-08-01,861080.8,48601.1065,45786.4675,47148.37733333334,-0.10830805389858267,0.03915697886425695,1.0,348264955.16683096,338661601.4495892,8,912154.15,764777.25,835197.85,0.041665618243720726,1
2019,9,44531.1435,319541315.86953294,44531.1435,1.0,2019-09-01,779902.75,50504.179000000004,48601.1065,48297.251,-0.16322751452248252,-0.11826814371143435,0.9999999999999999,366506366.1620417,349714811.85902506,9,861080.8,912154.15,846004.0666666668,-0.026659622797301052,1
2019,10,47225.8635,337511588.9590603,47225.86350000001,1.0000000000000002,2019-10-01,770188.5,44531.1435,50504.179000000004,47878.80966666667,-0.09953457037129743,0.06051315524830403,1.0,319541315.86953294,344770879.0661352,10,779902.75,861080.8,851045.9,-0.1914487765126115,1
2019,11,45697.487,323072931.9163515,45697.487,1.0,2019-11-01,728917.9,47225.8635,44531.1435,47420.39533333334,-0.08108790495875351,-0.03236312449850698,1.0000000000000002,337511588.9590603,341186423.663545,11,770188.5,779902.75,803724.0166666666,-0.1242450568638026,1
2019,12,41685.6205,295905796.3051704,41685.620500000005,1.0000000000000002,2019-12-01,746749.75,45697.487,47225.8635,45818.16466666667,-0.08402251638440372,-0.08779184071981905,1.0,323072931.9163515,326708612.2483149,12,728917.9,770188.5,759669.7166666667,-0.1732709524956958,0
2020,1,37965.5385,264012646.23071393,37965.538499999995,0.9999999999999998,2020-01-01,806143.75,41685.6205,45697.487,44869.657,-0.114724008543719,-0.08924137281343802,1.0000000000000002,295905796.3051704,318830105.72686076,1,746749.75,728917.9,748618.7166666667,-0.05432081313907744,0
2020,2,40749.4445,294819595.59442955,40749.4445,1.0,2020-02-01,544037.3,37965.5385,41685.6205,41782.882,-0.04313412902844116,0.07332718328228105,0.9999999999999998,264012646.23071393,294330458.15074533,2,806143.75,746749.75,760603.7999999999,-0.2286512864512601,0
2020,3,44479.845499999996,318408922.6217221,44479.845499999996,1.0,2020-03-01,449568.3,40749.4445,37965.5385,40133.5345,-0.16207522925271844,0.09154483075223263,1.0,294819595.59442955,284912679.37677133,3,544037.3,806143.75,698976.9333333332,-0.3093946538676512,1
2020,4,35310.36,259087989.15950325,35310.35999999999,0.9999999999999998,2020-04-01,688999.0,44479.845499999996,40749.4445,41064.942833333334,-0.1864900857456281,-0.2061492209994299,1.0,318408922.6217221,292413721.48228854,4,449568.3,544037.3,599916.45,-0.06445233482960067,0
2020,5,40595.619,296348390.6194539,40595.619,1.0,2020-05-01,581664.75,35310.36,44479.845499999996,40179.88333333333,-0.13731989662531996,0.14968012220775995,0.9999999999999998,259087989.15950325,290772169.12521833,5,688999.0,449568.3,560868.2,-0.2980676745040184,0
2020,6,42270.251,306663102.2553205,42270.251,1.0,2020-06-01,691475.4,40595.619,35310.36,40128.608166666665,-0.07679597688989659,0.041251544901926396,1.0,296348390.6194539,291281767.46689314,6,581664.75,688999.0,573410.6833333332,-0.09584732024913134,0
2020,7,45945.9975,338777641.0934194,45945.9975,1.0,2020-07-01,856389.15,42270.251,40595.619,39392.07666666667,-0.054630628625708444,0.08695823689336502,1.0,306663102.2553205,287366494.0114259,7,691475.4,581664.75,654046.3833333333,-0.06113549995908041,1
2020,8,45429.6035,334186352.0994321,45429.603500000005,1.0000000000000002,2020-08-01,961832.75,45945.9975,42270.251,42937.28916666666,-0.10047832873394513,-0.011239150918423313,1.0,338777641.0934194,313929711.3227313,8,856389.15,691475.4,709843.1,0.11700638314081546,1
2020,9,46915.6155,337932377.52968496,46915.6155,1.0,2020-09-01,883624.8,45429.6035,45945.9975,44548.61733333333,0.05354616595462014,0.03271021284612363,1.0000000000000002,334186352.0994321,326542365.1493907,9,961832.75,856389.15,836565.7666666666,0.13299356874943702,1
2020,10,52771.3095,373580865.84518033,52771.30949999999,0.9999999999999998,2020-10-01,980728.55,46915.6155,45429.6035,46097.07216666666,0.11742391962827758,0.12481332574652049,1.0,337932377.52968496,336965456.9075122,10,883624.8,961832.75,900615.5666666668,0.27336171599549997,1
2020,11,52091.3375,371642683.5341808,52091.3375,1.0,2020-11-01,929957.3,52771.3095,46915.6155,48372.17616666667,0.13991689521132744,-0.01288525917667438,0.9999999999999998,373580865.84518033,348566531.82476586,11,980728.55,883624.8,942062.0333333332,0.2758052724456348,1
2020,12,50881.1895,367169779.0710898,50881.18949999999,0.9999999999999999,2020-12-01,879186.05,52091.3375,52771.3095,50592.75416666667,0.22059330986808767,-0.023231271418208466,1.0,371642683.5341808,361051975.6363487,12,929957.3,980728.55,931436.8833333333,0.17735031046210592,1
2021,1,52094.8375,373084490.594932,52094.8375,1.0,2021-01-01,835516.2,50881.1895,52091.3375,51914.612166666666,0.372161163998767,0.02385258701548243,0.9999999999999999,367169779.0710898,370797776.1501503,1,879186.05,929957.3,929957.2999999999,0.03643574734654953,1
2021,2,53023.5015,379408059.1792719,53023.501500000006,1.0000000000000002,2021-02-01,799315.4,52094.8375,50881.1895,51689.1215,0.30120795879806406,0.017826411302271472,1.0,373084490.594932,370632317.7334009,2,835516.2,879186.05,881553.1833333332,0.46922903999413257,1
2021,3,63071.275,454788596.50571364,63071.27500000001,1.0000000000000002,2021-03-01,957599.25,53023.5015,52094.8375,51999.842833333336,0.4179742373430684,0.1894966046329476,1.0000000000000002,379408059.1792719,373220776.28176457,3,799315.4,835516.2,838005.8833333333,1.1300417533887508,1
2021,4,58097.208,426589371.323951,58097.208000000006,1.0000000000000002,2021-04-01,946966.35,63071.275,53023.5015,56063.204666666665,0.6453303789596028,-0.07886422147007499,1.0000000000000002,454788596.50571364,402427048.7599726,4,957599.25,799315.4,864143.6166666666,0.3744088888372843,1
